server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"Tachus Fiber Internet - Kingwood, TX","31015","78.949","11.408","0","65716","68348","728360","954930","https://www.speedtest.net/result/c/f9f2ffbe-0f0a-4f0f-b65e-b53e4d62a5ab"
"Tachus Fiber Internet - Kingwood, TX","31015","46.14","7.174","0","65356","60997","713070","572664","https://www.speedtest.net/result/c/c52eb4de-54dd-405e-af1b-32cbd1e21dbd"
"Comcast - Houston, TX","1763","104.014","41.919","N/A","2279901","276842","23759476","1827998","https://www.speedtest.net/result/c/ca262c7c-8b98-436f-9d7d-23aaf632b25a"
"Southern Broadband - Houston, TX","31868","71.965","14.279","0","63412","61496","736232","751010","https://www.speedtest.net/result/c/12738000-7888-4474-ba78-cbc14c766a25"
"Tachus Fiber Internet - Kingwood, TX","31015","52.801","6.792","0","63040","63683","665810","625500","https://www.speedtest.net/result/c/44ccac9b-d514-4c3c-ad3f-20974113ae1a"
"Tachus Fiber Internet - Kingwood, TX","31015","86.081","16.015","0","64060","64503","762045","690830","https://www.speedtest.net/result/c/3a973fa1-d242-4c6e-94a8-f3153f8f1b6c"
"Tachus Fiber Internet - Kingwood, TX","31015","67.958","11.977","0","64661","65515","775620","568510","https://www.speedtest.net/result/c/d2339e5c-97d5-412c-a92d-867ec668d238"
"PS Lightwave, Inc - Houston, TX","25206","44.924","15.56","0","1585236","61898","17880928","699568","https://www.speedtest.net/result/c/17a3f03c-8970-4d3d-8aae-371ec9bc3796"
"Tachus Fiber Internet - Kingwood, TX","31015","49.96","6.77","0","66258","72104","970104","939640","https://www.speedtest.net/result/c/bb57816a-4506-4ca2-b996-917ecdb03b27"
"En-Touch Systems Inc. - Houston, TX","11772","44.013","7.021","0","1931533","238850","24040588","3190004","https://www.speedtest.net/result/c/5723f142-aa3e-4856-bfd3-cceb387ee3d5"
"Tachus Fiber Internet - Kingwood, TX","31015","124.98","14.744","0","61800","72487","688050","928520","https://www.speedtest.net/result/c/606bae99-9256-4baf-ad6e-e7d0435e3879"
"En-Touch Systems Inc. - Houston, TX","11772","53.166","9.933","0","2260090","278494","28782286","3675516","https://www.speedtest.net/result/c/784f75c0-6342-45f2-93f2-48122051b215"
"CenturyLink - Houston, TX","10151","74.08","24.201","0","1202969","227827","11704732","2894456","https://www.speedtest.net/result/c/cec4aed6-055a-40c9-a63c-531a7de7b517"
